strategy,run_id,won,final_infection_pct,tokens_used,ticks_to_threshold
betweenness,0,1,34.17,5,20
betweenness,1,1,29.17,5,20
betweenness,2,1,0.0,5,20
betweenness,3,1,0.0,5,20
betweenness,4,1,0.0,5,20
betweenness,5,1,0.0,5,20
betweenness,6,1,0.0,5,20
betweenness,7,1,0.0,5,20
betweenness,8,1,0.0,5,20
betweenness,9,1,0.0,5,20
betweenness,10,1,32.5,5,20
betweenness,11,1,18.33,5,20
betweenness,12,1,0.0,5,20
betweenness,13,1,0.0,5,20
betweenness,14,1,0.0,5,20
betweenness,15,1,25.83,5,20
betweenness,16,1,0.0,5,20
betweenness,17,1,1.67,5,20
betweenness,18,1,41.67,5,20
betweenness,19,1,16.67,5,20
betweenness,20,1,33.33,5,20
betweenness,21,1,25.83,5,20
betweenness,22,1,0.0,5,20
betweenness,23,1,0.0,5,20
betweenness,24,1,0.0,5,20
betweenness,25,1,0.0,5,20
betweenness,26,1,0.0,5,20
betweenness,27,1,31.67,5,20
betweenness,28,1,22.5,5,20
betweenness,29,1,0.0,5,20
betweenness,30,1,36.67,5,20
betweenness,31,1,10.0,5,20
betweenness,32,1,20.83,5,20
betweenness,33,1,5.0,5,20
betweenness,34,1,23.33,5,20
betweenness,35,1,0.0,5,20
betweenness,36,1,30.83,5,20
betweenness,37,1,0.0,5,20
betweenness,38,1,0.0,5,20
betweenness,39,1,6.67,5,20
betweenness,40,1,37.5,5,20
betweenness,41,1,0.0,5,20
betweenness,42,1,23.33,5,20
betweenness,43,1,37.5,5,20
betweenness,44,1,16.67,5,20
betweenness,45,1,0.0,5,20
betweenness,46,1,33.33,5,20
betweenness,47,1,35.0,5,20
betweenness,48,1,17.5,5,20
betweenness,49,1,27.5,5,20
betweenness,50,1,26.67,5,20
betweenness,51,1,0.0,5,20
betweenness,52,1,35.83,5,20
betweenness,53,1,0.0,5,20
betweenness,54,1,0.0,5,20
betweenness,55,1,0.0,5,20
betweenness,56,1,0.0,5,20
betweenness,57,1,27.5,5,20
